[Accuracy: 68.0% for 100 games with 13 bombs, total time: 83.25s, average time per game: 0.83s]

lost,0,1,2.1,35
won,1,1,1.04,28
won,2,1,0.94,29
lost,2,2,0.1,1
won,3,2,0.61,18
lost,3,3,0.04,1
won,4,3,0.47,17
lost,4,4,0.06,2
won,5,4,0.89,30
won,6,4,0.84,37
won,7,4,0.88,23
won,8,4,2.21,23
lost,8,5,0.63,4
won,9,5,0.97,21
won,10,5,1.73,36
won,11,5,0.76,22
lost,11,6,4.74,25
lost,11,7,0.05,1
lost,11,8,0.05,1
lost,11,9,0.72,2
lost,11,10,0.05,1
won,12,10,0.51,19
won,13,10,0.55,22
lost,13,11,0.48,7
won,14,11,1.6,15
won,15,11,0.51,21
won,16,11,0.75,33
won,17,11,1.1,33
won,18,11,1.73,27
won,19,11,1.74,27
lost,19,12,0.47,16
lost,19,13,0.15,1
won,20,13,0.64,23
won,21,13,0.97,23
won,22,13,0.8,26
lost,22,14,1.9,23
lost,22,15,0.04,1
won,23,15,0.51,17
lost,23,16,0.26,2
lost,23,17,1.52,11
lost,23,18,1.22,27
won,24,18,1.11,37
won,25,18,1.37,26
won,26,18,0.83,19
lost,26,19,0.15,1
won,27,19,0.7,31
lost,27,20,0.63,2
won,28,20,0.52,20
won,29,20,1.37,27
won,30,20,0.82,24
won,31,20,0.46,20
lost,31,21,0.57,5
lost,31,22,0.04,1
won,32,22,0.59,21
won,33,22,0.51,18
won,34,22,0.44,22
lost,34,23,0.22,2
won,35,23,1.38,27
won,36,23,0.92,23
lost,36,24,0.49,2
won,37,24,0.89,28
won,38,24,0.44,18
won,39,24,0.81,26
won,40,24,0.82,26
lost,40,25,0.22,2
won,41,25,0.65,23
won,42,25,0.71,25
won,43,25,1.09,45
won,44,25,0.81,24
won,45,25,0.81,24
won,46,25,7.76,51
won,47,25,1.5,41
won,48,25,1.24,36
won,49,25,0.98,21
won,50,25,0.59,21
won,51,25,3.81,30
won,52,25,3.82,30
won,53,25,0.31,12
won,54,25,0.47,17
won,55,25,0.95,34
won,56,25,0.7,31
won,57,25,0.88,29
lost,57,26,0.06,2
lost,57,27,0.13,2
won,58,27,1.32,32
lost,58,28,0.11,2
won,59,28,0.42,19
lost,59,29,0.04,2
won,60,29,0.34,13
won,61,29,0.35,13
won,62,29,0.54,23
won,63,29,0.84,30
won,64,29,1.86,35
lost,64,30,0.78,3
lost,64,31,0.06,1
won,65,31,0.36,17
won,66,31,0.37,17
won,67,31,0.37,15
lost,67,32,0.65,27
won,68,32,1.07,40
