[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
lost,121,131,0.03,2
won,122,131,0.1,24
lost,122,132,0.03,2
won,123,132,0.1,29
won,124,132,0.11,29
lost,124,133,0.03,6
lost,124,134,0.03,1
lost,124,135,0.05,2
lost,124,136,0.02,1
won,125,136,0.08,23
lost,125,137,0.03,3
won,126,137,0.1,23
lost,126,138,0.03,2
won,127,138,0.08,16
won,128,138,0.1,36
won,129,138,0.08,20
lost,129,139,0.07,11
lost,129,140,0.03,2
won,130,140,0.08,18
lost,130,141,0.05,6
lost,130,142,0.03,2
lost,130,143,0.05,4
lost,130,144,0.03,1
lost,130,145,0.03,1
won,131,145,0.09,26
lost,131,146,0.04,1
lost,131,147,0.09,21
lost,131,148,0.04,3
lost,131,149,0.04,3
lost,131,150,0.04,2
lost,131,151,0.05,4
lost,131,152,0.03,1
lost,131,153,0.04,1
won,132,153,0.1,25
lost,132,154,0.08,24
lost,132,155,0.04,3
lost,132,156,0.07,13
lost,132,157,0.04,3
won,133,157,0.08,20
lost,133,158,0.03,2
lost,133,159,0.03,2
lost,133,160,0.08,13
lost,133,161,0.05,1
lost,133,162,0.03,1
lost,133,163,0.05,6
lost,133,164,0.03,1
lost,133,165,0.03,3
lost,133,166,0.03,1
won,134,166,0.1,31
lost,134,167,0.05,10
lost,134,168,0.02,2
won,135,168,0.08,13
lost,135,169,0.03,2
won,136,169,0.08,28
lost,136,170,0.03,2
lost,136,171,0.1,27
lost,136,172,0.03,1
won,137,172,0.07,23
won,138,172,0.08,24
won,139,172,0.05,11
won,140,172,0.1,27
lost,140,173,0.03,1
lost,140,174,0.07,17
lost,140,175,0.08,17
lost,140,176,0.03,2
lost,140,177,0.03,1
lost,140,178,0.03,4
lost,140,179,0.03,1
lost,140,180,0.02,1
won,141,180,0.07,17
won,142,180,0.09,28
lost,142,181,0.03,2
lost,142,182,0.03,2
won,143,182,0.07,19
won,144,182,0.08,18
lost,144,183,0.04,1
won,145,183,0.09,31
won,146,183,0.11,27
lost,146,184,0.03,1
won,147,184,0.09,29
won,148,184,0.09,21
lost,148,185,0.04,4
lost,148,186,0.04,2
won,149,186,0.1,24
won,150,186,0.09,30
won,151,186,0.08,20
won,152,186,0.09,23
lost,152,187,0.05,9
won,153,187,0.11,21
won,154,187,0.09,23
lost,154,188,0.04,3
won,155,188,0.13,28
lost,155,189,0.04,4
lost,155,190,0.05,10
lost,155,191,0.04,4
won,156,191,0.1,20
won,157,191,0.11,33
won,158,191,0.08,27
won,159,191,0.1,29
won,160,191,0.11,22
lost,160,192,0.08,20
lost,160,193,0.03,1
won,161,193,0.08,29
won,162,193,0.1,27
won,163,193,0.07,26
won,164,193,0.08,22
lost,164,194,0.09,21
lost,164,195,0.03,6
lost,164,196,0.02,1
lost,164,197,0.03,4
won,165,197,0.07,20
lost,165,198,0.05,4
lost,165,199,0.04,1
lost,165,200,0.03,2
lost,165,201,0.07,19
won,166,201,0.08,28
won,167,201,0.1,34
lost,167,202,0.03,1
won,168,202,0.1,21
won,169,202,0.07,13
won,170,202,0.1,19
won,171,202,0.08,21
lost,171,203,0.03,2
won,172,203,0.1,12
lost,172,204,0.04,2
lost,172,205,0.04,2
lost,172,206,0.05,2
won,173,206,0.11,19
lost,173,207,0.07,15
lost,173,208,0.04,3
lost,173,209,0.09,14
lost,173,210,0.04,1
won,174,210,0.09,29
won,175,210,0.07,23
won,176,210,0.1,29
won,177,210,0.1,29
won,178,210,0.1,30
won,179,210,0.08,20
lost,179,211,0.03,1
lost,179,212,0.03,1
lost,179,213,0.03,1
lost,179,214,0.03,1
lost,179,215,0.03,3
lost,179,216,0.08,17
won,180,216,0.12,24
won,181,216,0.09,17
won,182,216,0.08,19
won,183,216,0.08,32
lost,183,217,0.03,2
lost,183,218,0.02,3
lost,183,219,0.04,8
won,184,219,0.09,21
won,185,219,0.09,27
won,186,219,0.05,12
won,187,219,0.11,34
lost,187,220,0.04,2
won,188,220,0.07,17
lost,188,221,0.03,2
lost,188,222,0.03,2
lost,188,223,0.03,2
lost,188,224,0.06,9
won,189,224,0.1,22
lost,189,225,0.04,4
won,190,225,0.11,28
lost,190,226,0.09,22
won,191,226,0.1,22
lost,191,227,0.07,10
lost,191,228,0.04,1
lost,191,229,0.08,20
won,192,229,0.1,24
lost,192,230,0.04,8
