[Accuracy: 42.1% for 1000 games with 40 bombs, total time: 280.06s, average time per game: 0.28s]
lost,0,1,0.87,2
lost,0,2,0.15,2
won,1,2,0.43,99
lost,1,3,0.41,81
won,2,3,0.48,91
lost,2,4,0.24,41
lost,2,5,0.12,1
won,3,5,0.4,86
won,4,5,0.42,80
lost,4,6,0.15,4
won,5,6,0.44,75
lost,5,7,0.13,1
won,6,7,0.44,82
won,7,7,0.4,72
lost,7,8,0.11,2
won,8,8,0.38,68
lost,8,9,0.12,1
won,9,9,0.47,92
lost,9,10,0.15,3
won,10,10,0.42,101
won,11,10,0.43,103
lost,11,11,0.13,5
won,12,11,0.37,76
won,13,11,0.5,110
lost,13,12,0.35,64
lost,13,13,0.13,11
won,14,13,0.38,77
lost,14,14,0.11,3
lost,14,15,0.13,6
lost,14,16,0.13,1
lost,14,17,0.12,2
lost,14,18,0.38,75
won,15,18,0.47,97
lost,15,19,0.15,3
won,16,19,0.42,101
lost,16,20,0.13,8
won,17,20,0.33,92
lost,17,21,0.33,95
lost,17,22,0.32,65
lost,17,23,0.12,2
won,18,23,0.35,83
lost,18,24,0.33,88
lost,18,25,0.12,2
lost,18,26,0.12,2
lost,18,27,0.1,3
lost,18,28,0.12,2
lost,18,29,0.1,6
lost,18,30,0.15,4
lost,18,31,0.12,1
won,19,31,0.33,93
lost,19,32,0.12,3
won,20,32,0.36,90
won,21,32,0.39,90
won,22,32,0.27,74
lost,22,33,0.13,6
lost,22,34,0.1,2
lost,22,35,0.1,1
won,23,35,0.33,59
lost,23,36,0.37,87
won,24,36,0.35,71
lost,24,37,0.12,3
lost,24,38,0.11,1
won,25,38,0.32,75
lost,25,39,0.38,86
lost,25,40,0.34,77
lost,25,41,0.1,2
lost,25,42,0.12,1
lost,25,43,0.12,2
lost,25,44,0.3,62
won,26,44,0.42,128
lost,26,45,0.4,107
lost,26,46,0.14,2
lost,26,47,0.13,2
lost,26,48,0.15,3
lost,26,49,0.13,4
won,27,49,0.4,86
lost,27,50,0.41,82
won,28,50,0.35,63
won,29,50,0.45,110
won,30,50,0.38,69
won,31,50,0.38,81
won,32,50,0.43,104
won,33,50,0.45,105
lost,33,51,0.19,25
lost,33,52,0.13,6
lost,33,53,0.13,4
lost,33,54,0.18,17
lost,33,55,0.13,3
won,34,55,0.38,83
won,35,55,0.42,83
won,36,55,0.43,84
won,37,55,0.45,85
lost,37,56,0.12,2
lost,37,57,0.13,1
lost,37,58,0.12,1
won,38,58,0.37,71
won,39,58,0.38,71
lost,39,59,0.13,1
won,40,59,0.4,106
lost,40,60,0.14,1
won,41,60,0.43,94
lost,41,61,0.45,99
lost,41,62,0.39,117
lost,41,63,0.38,88
lost,41,64,0.13,8
lost,41,65,0.1,1
won,42,65,0.37,85
lost,42,66,0.28,43
lost,42,67,0.12,1
lost,42,68,0.12,2
won,43,68,0.4,97
won,44,68,0.38,61
lost,44,69,0.13,1
won,45,69,0.4,85
lost,45,70,0.15,1
lost,45,71,0.35,67
lost,45,72,0.13,4
lost,45,73,0.43,94
lost,45,74,0.12,3
lost,45,75,0.12,1
won,46,75,0.36,68
lost,46,76,0.13,5
won,47,76,0.38,90
lost,47,77,0.13,3
lost,47,78,0.38,95
won,48,78,0.37,102
won,49,78,0.4,102
won,50,78,0.42,103
won,51,78,0.45,104
won,52,78,0.48,105
won,53,78,0.4,88
won,54,78,0.42,89
lost,54,79,0.14,3
lost,54,80,0.38,67
lost,54,81,0.26,24
lost,54,82,0.4,68
lost,54,83,0.13,1
won,55,83,0.42,86
won,56,83,0.4,92
won,57,83,0.43,92
won,58,83,0.45,93
won,59,83,0.47,94
won,60,83,0.42,84
lost,60,84,0.13,3
lost,60,85,0.32,61
lost,60,86,0.12,1
lost,60,87,0.12,2
